Epoch,Learning Rate,Rho,Dev Fscore overall,Dev Fscore seen,Dev Fscore unseen,Topic Fscore,Train Fscore overall,Train Fscore seen,Train Fscore unseen
0,0.001,0.0,0.594409282700422,0.594409282700422,0.0,0.0,0.4545152851947079,0.5677408626973759,0.0
1,0.001,0.0,0.594409282700422,0.594409282700422,0.0,0.0,0.4545152851947079,0.5677408626973759,0.0
2,0.001,0.0,0.594409282700422,0.594409282700422,0.0,0.292203035060178,0.4545152851947079,0.5677408626973759,0.0
3,0.001,0.0,0.594409282700422,0.594409282700422,0.0,0.44804656649058927,0.4545152851947079,0.5677408626973759,0.0
4,0.001,0.0,0.5942637646561845,0.5942637646561845,0.0,0.6264592618015354,0.4560554952711816,0.5705953022469127,0.0
5,0.001,0.0,0.5222902097902098,0.5222902097902098,0.0,0.6676818835969687,0.4355348808646524,0.5531073446327683,0.0
6,0.001,0.0,0.5954374848155807,0.5954374848155807,0.0,0.7105538778947866,0.458204644068688,0.5730319865319866,0.0
7,0.001,0.0,0.5050853962771061,0.5050853962771061,0.0,0.7232707191704075,0.4260262972394694,0.5434552891962156,0.0
8,0.001,0.0,0.5938965079086886,0.5938965079086886,0.0,0.7249481338248032,0.4628237447110054,0.5805382360886557,0.0
9,0.001,0.0,0.5927853591452449,0.5927853591452449,0.0,0.7210949195898769,0.4615115987525703,0.578859548977076,0.0
10,0.001,0.0,0.6012271820831415,0.6012271820831415,0.0,0.7195300842377608,0.4859289603864296,0.6086302312080367,0.0
11,0.001,0.0,0.5763155263771786,0.5763155263771786,0.0,0.7355087308555264,0.4683686794805947,0.5901514617823178,0.0
12,0.001,0.0,0.5803030303030303,0.5803030303030303,0.0,0.7368645640486546,0.46998270829201766,0.5891781695365679,0.0
13,0.001,0.0,0.5949847491024914,0.5949847491024914,0.0,0.7444613262897082,0.4937043342555154,0.6156506546037673,0.0
14,0.001,0.0,0.6414909841212882,0.6414909841212882,0.0,0.7510451970202754,0.5303166213852805,0.6604450695209114,0.0
15,0.001,0.0,0.610680756661835,0.610680756661835,0.0,0.7568279523991814,0.5035666978414202,0.6293344642045519,0.0
16,0.001,0.0,0.6441312093900651,0.6441312093900651,0.0,0.7498502397109484,0.5219608787778305,0.6459768679596265,0.0
17,0.001,0.0,0.6320531479886338,0.6320531479886338,0.0,0.7438141912934285,0.5123663703318928,0.6349759058937892,0.0
18,0.001,0.0,0.6513367403889296,0.6513367403889296,0.0,0.7531061112513489,0.5634498349677419,0.6816354864449965,0.0
19,0.001,0.0,0.6262100729242186,0.6262100729242186,0.0,0.7620292622194969,0.5398056042204867,0.6710796395162111,0.0
20,0.001,0.0,0.653811697913631,0.653811697913631,0.0,0.7591732427662904,0.5499092279762454,0.6851350559755511,0.0
21,0.001,0.0,0.6255823986194995,0.6255823986194995,0.0,0.7572460928997432,0.5397518783325255,0.6766943556419008,0.0
22,0.001,0.0,0.6304495220014916,0.6304495220014916,0.0,0.7706903122736802,0.5545010525557958,0.6827298262794745,0.0
23,0.001,0.0,0.6068076565110619,0.6068076565110619,0.0,0.7627065847538289,0.5355179382098116,0.678301291169759,0.0
24,0.001,0.0,0.6455730734497291,0.6455730734497291,0.0,0.7658756039917808,0.5490253236210303,0.7027226210897068,0.0
25,0.001,0.0,0.6248902628088986,0.6248902628088986,0.0,0.7550212159765085,0.5643764837313225,0.7102123613906162,0.0
26,0.001,0.0,0.6300900644568227,0.6300900644568227,0.0,0.75663358115367,0.5648176668891285,0.6920025151574377,0.0
27,0.001,0.0,0.6302350427350427,0.6302350427350427,0.0,0.7691857911340053,0.5514997028714539,0.6872068313408359,0.0
28,0.001,0.0,0.6173096769072001,0.6173096769072001,0.0,0.7690642596837276,0.5878458078417187,0.7238349390073529,0.0
29,0.001,0.0,0.6110400861817213,0.6110400861817213,0.0,0.754636788357382,0.545185685239209,0.6777811906497808,0.0
30,0.001,0.0,0.6315696881734618,0.6315696881734618,0.0,0.7745873233014136,0.5885019787453263,0.725003223726628,0.0
31,0.001,0.0,0.6352893814530642,0.6352893814530642,0.0,0.775220770303745,0.6074124798992326,0.7523434357155172,0.0
32,0.001,0.0,0.650272785622593,0.650272785622593,0.0,0.7767224685497804,0.6016412114842326,0.7515605234856297,0.0
33,0.001,0.0,0.6613062269217859,0.6613062269217859,0.0,0.7745851049238788,0.6041737367838136,0.7400756814469001,0.0
34,0.001,0.0,0.6475759598506762,0.6475759598506762,0.0,0.7788697788697789,0.6017935193282541,0.7294230759454418,0.0
35,0.001,0.0,0.6499462076385154,0.6499462076385154,0.0,0.7741845033122521,0.6283801219791217,0.7587204057041192,0.0
36,0.001,0.0,0.6792758406773721,0.6792758406773721,0.0,0.7768890038475218,0.6095377517990932,0.7674709289104744,0.0
37,0.001,0.0,0.6034058988764044,0.6034058988764044,0.0,0.7638012940214802,0.5900554645605278,0.7535167945501049,0.0
38,0.001,0.0,0.6428468572251421,0.6428468572251421,0.0,0.7784823492587858,0.6425022469607737,0.7790528711622281,0.0
39,0.001,0.0,0.638290667750237,0.638290667750237,0.0,0.7783394270443299,0.624137282410784,0.7680911710231384,0.0
40,0.001,0.0,0.650970388155262,0.650970388155262,0.0,0.7757239251118029,0.6545524942299477,0.7841106358580647,0.0
41,0.001,0.0,0.6860483901623142,0.6860483901623142,0.0,0.7885777559786568,0.6357074373990956,0.7758181846026617,0.0
42,0.001,0.0,0.6635839719992759,0.6635839719992759,0.0,0.7669487495212217,0.6713516668161904,0.7841071088731366,0.0
43,0.001,0.0,0.6841902361967804,0.6841902361967804,0.0,0.7820200105498443,0.6353547977340477,0.7683085313633207,0.0
44,0.001,0.0,0.6587919420437215,0.6587919420437215,0.0,0.7927080169289027,0.6520239407849846,0.7953630808160539,0.0
45,0.001,0.0,0.659760886127879,0.659760886127879,0.0,0.7838049485143527,0.6678528725460761,0.8020369530205775,0.0
46,0.001,0.0,0.6718248752844082,0.6718248752844082,0.0,0.7809804550858176,0.6671899985905224,0.8087056282818255,0.0
47,0.001,0.0,0.640615346042605,0.640615346042605,0.0,0.7862537136066546,0.6645949395979429,0.801403024747858,0.0
48,0.001,0.0,0.6671001900123601,0.6671001900123601,0.0,0.7834560140946011,0.6657481539727041,0.820587932261811,0.0
49,0.001,0.0,0.6715073529411766,0.6715073529411766,0.0,0.7816495055561219,0.6929333817337489,0.8257597129134802,0.0
50,0.001,0.0,0.6525002863121949,0.6525002863121949,0.0,0.7871764581423231,0.6863681500539054,0.8189622460442596,0.0
51,0.0009764540896763106,0.069885890316429,0.6608946608946609,0.6608946608946609,0.0,0.7778241403301334,0.7020871991877666,0.8338479462644193,0.0
52,0.0009554427922043668,0.1390924478784581,0.6506059783279441,0.6506059783279441,0.0,0.7559017841370782,0.6847383524236215,0.8290217027112617,0.0
53,0.0009365137582048804,0.2069664997294527,0.6382912290661367,0.6382912290661367,0.0,0.5673341205779261,0.6431185201179921,0.7815873802089306,0.0
54,0.0009193227152249185,0.2729050805631328,0.6339687359424202,0.6339687359424202,0.0,0.12699824891289196,0.560960175394003,0.7695593536473688,0.0
55,0.0009036020036098449,0.3363755443363323,0.6240940243294331,0.6240940243294331,0.0,0.5250417176857999,0.6945090963400704,0.7782267516783732,0.0
56,0.0008891397050194615,0.3969304320050775,0.6504120879120878,0.6504120879120878,0.0,0.6342812533079284,0.6804135961048037,0.8173510593664779,0.0
57,0.0008757653731721587,0.4542164326822591,0.6439054019632816,0.6439054019632816,0.0,0.31932521680973985,0.6786655703096847,0.8272524999015922,0.0
58,0.0008633400213704505,0.5079774328978963,0.6220325203252033,0.6220325203252033,0.0,0.2726165961709706,0.6234450621975121,0.7993287318287965,0.0
59,0.0008517489360780039,0.5580522155596244,0.6203280807909544,0.6203280807909544,0.0,0.009478672985781991,0.512398082815308,0.7235331119386257,0.0
60,0.0008408964152537146,0.6043677771171636,0.6530210894035451,0.6530210894035451,0.0,0.3080368938101986,0.6632726101758993,0.8321851609243878,0.0
61,0.0008307018474412791,0.6469294504417666,0.641676533496295,0.641676533496295,0.0,0.06520421920541156,0.6259341275138945,0.8140841640111058,0.0
62,0.0008210967436686386,0.6858090622290947,0.624774878780882,0.624774878780882,0.0,0.27040036758805513,0.6108428672348781,0.8047330584242601,0.0
63,0.0008120224586769673,0.7211322540767,0.5936850648556943,0.5936850648556943,0.0,0.0007692307692307691,0.42551340365795004,0.567834447571502,0.0
64,0.0008034284189446517,0.7530659048695518,0.596276595744681,0.596276595744681,0.0,0.28995926192187876,0.4549594845476105,0.5681850620502784,0.0
65,0.0007952707287670507,0.7818063576087741,0.5953389830508475,0.5953389830508475,0.0,0.42740629031348765,0.4552566911729027,0.5684822686755707,0.0
66,0.000787511062110268,0.8075689165786144,0.594409282700422,0.594409282700422,0.0,0.005298600035442141,0.4545152851947079,0.5677408626973759,0.0
67,0.0007801157731069053,0.8305788685385285,0.594409282700422,0.594409282700422,0.0,0.03001200480192077,0.4545152851947079,0.5677408626973759,0.0
